Instance type,Instance family,Instance size,Availability zones,Free-Tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,ENA Express support,On-Demand Windows pricing,On-Demand Linux pricing,On-Demand SUSE pricing,On-Demand RHEL pricing,On-Demand ap-northeast-1-tpe-1 Windows pricing,On-Demand ap-northeast-1-tpe-1 SUSE pricing,On-Demand ap-northeast-1-tpe-1 RHEL pricing,On-Demand ap-northeast-1-tpe-1 Linux pricing
t1.micro,t1,micro,"ap-northeast-1c, ap-northeast-1a",false,false,false,xen,1,"i386, x86_64",1,-,1,-,,0.612,-,-,-,-,supported,unsupported,Very Low,unsupported,2,2,-,-,"partition, spread",-,-,true,ebs,-,-,-,false,false,0.033 USD per Hour,0.026 USD per Hour,0.026 USD per Hour,0.086 USD per Hour,,,,
t2.nano,t2,nano,"ap-northeast-1c, ap-northeast-1d, ap-northeast-1a",false,false,false,xen,1,"i386, x86_64",1,-,1,-,2.4,0.5,-,-,-,-,supported,unsupported,Low to Moderate,unsupported,2,2,2,true,"partition, spread",-,-,true,ebs,-,true,true,true,false,0.0099 USD per Hour,0.0076 USD per Hour,0.0076 USD per Hour,,,,,
t2.micro,t2,micro,"ap-northeast-1a, ap-northeast-1d, ap-northeast-1c",true,false,false,xen,1,"i386, x86_64",1,-,1,-,2.5,1,-,-,-,-,supported,unsupported,Low to Moderate,unsupported,2,2,2,true,"partition, spread",-,-,true,ebs,-,true,true,true,false,0.0198 USD per Hour,0.0152 USD per Hour,0.0152 USD per Hour,0.0752 USD per Hour,,,,
t2.small,t2,small,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,false,xen,1,"i386, x86_64",1,-,1,-,2.5,2,-,-,-,-,supported,unsupported,Low to Moderate,unsupported,3,4,4,true,"partition, spread",-,-,true,ebs,-,true,true,true,false,0.0396 USD per Hour,0.0304 USD per Hour,0.0604 USD per Hour,0.0904 USD per Hour,,,,
t2.medium,t2,medium,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,false,xen,2,"i386, x86_64",2,-,1,-,2.3,4,-,-,-,-,supported,unsupported,Low to Moderate,unsupported,3,6,6,true,"partition, spread",-,-,true,ebs,-,true,true,true,false,0.0788 USD per Hour,0.0608 USD per Hour,0.1608 USD per Hour,0.1208 USD per Hour,,,,
t2.large,t2,large,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,false,xen,2,x86_64,2,-,1,-,2.3,8,-,-,-,-,supported,unsupported,Low to Moderate,unsupported,3,12,12,true,"partition, spread",-,-,true,ebs,-,true,true,true,false,0.1496 USD per Hour,0.1216 USD per Hour,0.2216 USD per Hour,0.1816 USD per Hour,,,,
t2.xlarge,t2,xlarge,"ap-northeast-1a, ap-northeast-1d, ap-northeast-1c",false,false,false,xen,4,x86_64,4,-,1,-,2.3,16,-,-,-,-,supported,unsupported,Moderate,unsupported,3,15,15,true,"partition, spread",-,-,true,ebs,-,true,true,true,false,0.2842 USD per Hour,0.2432 USD per Hour,0.3432 USD per Hour,0.3032 USD per Hour,,,,
t2.2xlarge,t2,2xlarge,"ap-northeast-1a, ap-northeast-1d, ap-northeast-1c",false,false,false,xen,8,x86_64,8,-,1,-,2.3,32,-,-,-,-,supported,unsupported,Moderate,unsupported,3,15,15,true,"partition, spread",-,-,true,ebs,-,true,true,true,false,0.5484 USD per Hour,0.4864 USD per Hour,0.5864 USD per Hour,0.6164 USD per Hour,,,,
t3.nano,t3,nano,"ap-northeast-1d, ap-northeast-1c, ap-northeast-1a",false,false,false,nitro,2,x86_64,1,1,2,"1,2",2.5,0.5,-,-,-,-,supported,default,Up to 5 Gigabit,required,2,2,2,true,"partition, spread",-,-,true,ebs,true,true,true,true,false,0.0114 USD per Hour,0.0068 USD per Hour,0.0068 USD per Hour,,,,,
t3.micro,t3,micro,"ap-northeast-1a, ap-northeast-1c, ap-northeast-1d",false,false,false,nitro,2,x86_64,1,1,2,"1,2",2.5,1,-,-,-,-,supported,default,Up to 5 Gigabit,required,2,2,2,true,"partition, spread",-,-,true,ebs,true,true,true,true,false,0.0228 USD per Hour,0.0136 USD per Hour,0.0136 USD per Hour,0.0736 USD per Hour,,,,
